Data,Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh)
2021-10-02,21,0.55,0.0,0.0,None
2021-10-02,22,0.32,0.0,0.0,None
2021-10-02,23,0.352,0.0,0.0,None
2021-10-03,0,0.472,0.0,0.0,None
2021-10-03,1,0.429,0.0,0.0,None
2021-10-03,2,0.281,0.0,0.0,None
2021-10-03,3,0.337,0.0,0.0,None
2021-10-03,4,0.277,0.0,0.0,None
2021-10-03,5,0.263,0.0,0.0,None
2021-10-03,6,0.259,0.0,0.0,None
2021-10-03,7,0.259,0.0,0.002,None
2021-10-03,8,0.047,0.0,0.221,Medium
2021-10-03,9,0.015,0.0,0.299,High
2021-10-03,10,0.053,0.0,0.402,High
2021-10-03,11,0.236,0.0,0.502,High
2021-10-03,12,0.958,0.0,0.621,Medium
2021-10-03,13,0.57,0.0,0.417,Medium
2021-10-03,14,0.384,0.0,0.21,Medium
2021-10-03,15,0.205,0.0,0.278,Medium
2021-10-03,16,0.163,0.0,0.173,Medium
2021-10-03,17,0.329,0.0,0.194,None
2021-10-03,18,0.358,0.0,0.034,None
2021-10-03,19,0.472,0.0,0.0,None
2021-10-03,20,0.516,0.0,0.0,None
2021-10-03,21,0.489,0.0,0.0,None
2021-10-03,22,0.573,0.0,0.0,None
2021-10-03,23,0.591,0.0,0.0,None
2021-10-04,0,0.548,0.0,0.0,None
2021-10-04,1,0.527,0.0,0.0,None
2021-10-04,2,0.334,0.0,0.0,None
2021-10-04,3,0.34,0.0,0.0,None
2021-10-04,4,0.333,0.0,0.0,None
2021-10-04,5,0.337,0.0,0.0,None
2021-10-04,6,0.319,0.0,0.0,None
2021-10-04,7,0.33,0.0,0.002,None
2021-10-04,8,0.447,0.0,0.048,None
2021-10-04,9,0.372,0.0,0.129,None
2021-10-04,10,0.024,0.0,0.337,Medium
2021-10-04,11,0.013,0.0,0.298,Medium
2021-10-04,12,0.001,0.0,0.311,Medium
2021-10-04,13,0.182,0.0,0.237,None
2021-10-04,14,0.029,0.0,0.484,Medium
2021-10-04,15,0.084,0.0,0.424,Medium
2021-10-04,16,0.052,0.0,0.403,Medium
2021-10-04,17,0.25,0.0,0.237,Medium
2021-10-04,18,0.364,0.0,0.039,None
2021-10-04,19,0.638,0.0,0.0,None
2021-10-04,20,0.664,0.0,0.0,None
2021-10-04,21,0.699,0.0,0.0,None
2021-10-04,22,0.734,0.0,0.0,None
2021-10-04,23,0.5,0.0,0.0,None
2021-10-05,0,0.546,0.0,0.0,None
2021-10-05,1,0.492,0.0,0.0,None
2021-10-05,2,0.32,0.0,0.0,None
2021-10-05,3,0.319,0.0,0.0,None
2021-10-05,4,0.317,0.0,0.0,None
2021-10-05,5,0.316,0.0,0.0,None
2021-10-05,6,0.31,0.0,0.0,None
2021-10-05,7,0.312,0.0,0.001,None
2021-10-05,8,0.255,0.0,0.067,None
2021-10-05,9,0.151,0.0,0.188,Low
2021-10-05,10,0.271,0.0,0.216,None
2021-10-05,11,0.188,0.0,0.281,Low
2021-10-05,12,0.007,0.0,0.467,High
2021-10-05,13,0.228,0.0,0.588,High
2021-10-05,14,0.2,0.0,0.406,Medium
2021-10-05,15,0.065,0.0,0.424,High
2021-10-05,16,0.458,0.0,0.181,Low
2021-10-05,17,0.339,0.0,0.202,None
2021-10-05,18,0.444,0.0,0.041,None
2021-10-05,19,0.547,0.0,0.0,None
2021-10-05,20,0.969,0.0,0.0,None
2021-10-05,21,1.157,0.0,0.0,None
2021-10-05,22,0.966,0.0,0.0,None
2021-10-05,23,0.918,0.0,0.0,None
2021-10-06,0,0.935,0.0,0.0,None
2021-10-06,1,0.698,0.0,0.0,None
2021-10-06,2,0.541,0.0,0.0,None
2021-10-06,3,0.41,0.0,0.0,None
2021-10-06,4,0.401,0.0,0.0,None
2021-10-06,5,0.409,0.0,0.0,None
2021-10-06,6,0.401,0.0,0.0,None
2021-10-06,7,0.402,0.0,0.001,None
2021-10-06,8,0.401,0.0,0.252,Low
2021-10-06,9,0.001,0.0,0.401,Medium
2021-10-06,10,0.0,0.0,0.33,High
2021-10-06,11,0.0,0.0,0.312,Very High
2021-10-06,12,0.0,0.0,0.318,Very High
2021-10-06,13,0.005,0.0,0.323,Very High
2021-10-06,14,0.01,0.0,0.424,High
2021-10-06,15,0.0,0.0,0.407,High
2021-10-06,16,0.0,0.0,0.42,Medium
2021-10-06,17,0.344,0.0,0.256,None
2021-10-06,18,1.276,0.0,0.018,None
2021-10-06,19,0.697,0.0,0.0,None
2021-10-06,20,0.47,0.0,0.0,None
2021-10-06,21,0.516,0.0,0.0,None
2021-10-06,22,0.395,0.0,0.0,None
2021-10-06,23,0.486,0.0,0.0,None
2021-10-07,0,0.601,0.0,0.0,None
2021-10-07,1,0.369,0.0,0.0,None
2021-10-07,2,0.311,0.0,0.0,None
2021-10-07,3,0.309,0.0,0.0,None
2021-10-07,4,0.311,0.0,0.0,None
2021-10-07,5,0.309,0.0,0.0,None
2021-10-07,6,0.409,0.0,0.0,None
2021-10-07,7,0.412,0.0,0.001,None
2021-10-07,8,0.241,0.0,0.244,Low
2021-10-07,9,0.026,0.0,0.327,High
2021-10-07,10,0.0,0.0,0.331,High
2021-10-07,11,0.0,0.0,0.325,Very High
2021-10-07,12,0.0,0.0,0.325,Very High
2021-10-07,13,0.236,0.0,0.499,High
2021-10-07,14,0.507,0.0,0.64,High
2021-10-07,15,0.0,0.0,0.385,High
2021-10-07,16,0.0,0.0,0.33,Medium
2021-10-07,17,0.092,0.0,0.238,Low
2021-10-07,18,0.437,0.0,0.017,None
2021-10-07,19,0.684,0.0,0.0,None
2021-10-07,20,0.75,0.0,0.0,None
2021-10-07,21,0.682,0.0,0.0,None
2021-10-07,22,0.573,0.0,0.0,None
2021-10-07,23,0.577,0.0,0.0,None
2021-10-08,0,0.426,0.0,0.0,None
2021-10-08,1,0.376,0.0,0.0,None
2021-10-08,2,0.379,0.0,0.0,None
2021-10-08,3,0.353,0.0,0.0,None
2021-10-08,4,0.334,0.0,0.0,None
2021-10-08,5,0.333,0.0,0.0,None
2021-10-08,6,0.319,0.0,0.0,None
2021-10-08,7,0.344,0.0,0.0,None
2021-10-08,8,0.356,0.0,0.214,Low
2021-10-08,9,0.0,0.0,0.323,High
2021-10-08,10,0.0,0.0,0.32,High
2021-10-08,11,0.0,0.0,0.325,Very High
2021-10-08,12,0.0,0.0,0.33,Very High
2021-10-08,13,0.008,0.0,0.38,Very High
2021-10-08,14,0.0,0.0,0.381,High
2021-10-08,15,0.0,0.0,0.364,High
2021-10-08,16,0.003,0.0,0.376,Medium
2021-10-08,17,0.208,0.0,0.231,None
2021-10-08,18,0.458,0.0,0.017,None
2021-10-08,19,0.949,0.0,0.0,None
2021-10-08,20,0.882,0.0,0.0,None
2021-10-08,21,0.589,0.0,0.0,None
2021-10-08,22,0.527,0.0,0.0,None
2021-10-08,23,0.445,0.0,0.0,None
2021-10-09,0,0.375,0.0,0.0,None
2021-10-09,1,0.384,0.0,0.0,None
2021-10-09,2,0.463,0.0,0.0,None
2021-10-09,3,0.413,0.0,0.0,None
2021-10-09,4,0.34,0.0,0.0,None
2021-10-09,5,0.323,0.0,0.0,None
2021-10-09,6,0.314,0.0,0.0,None
2021-10-09,7,0.374,0.0,0.0,None
2021-10-09,8,0.232,0.0,0.09,None
2021-10-09,9,0.242,0.0,0.304,Medium
2021-10-09,10,0.0,0.0,0.455,High
2021-10-09,11,0.222,0.0,0.562,High
2021-10-09,12,0.0,0.0,0.341,Very High
2021-10-09,13,0.0,0.0,0.337,Very High
2021-10-09,14,0.0,0.0,0.334,High
2021-10-09,15,0.143,0.0,0.562,Medium
2021-10-09,16,0.075,0.0,0.476,Medium
2021-10-09,17,0.391,0.0,0.178,Low
2021-10-09,18,0.49,0.0,0.03,None
2021-10-09,19,1.089,0.0,0.0,None
2021-10-09,20,0.985,0.0,0.0,None
2021-10-09,21,0.732,0.0,0.0,None
2021-10-09,22,0.685,0.0,0.0,None
2021-10-09,23,0.666,0.0,0.0,None
2021-10-10,0,0.735,0.0,0.0,None
2021-10-10,1,0.566,0.0,0.0,None
2021-10-10,2,0.323,0.0,0.0,None
2021-10-10,3,0.274,0.0,0.0,None
2021-10-10,4,0.275,0.0,0.0,None
2021-10-10,5,0.274,0.0,0.0,None
2021-10-10,6,0.272,0.0,0.0,None
2021-10-10,7,0.27,0.0,0.001,None
2021-10-10,8,0.088,0.0,0.199,Low
2021-10-10,9,0.063,0.0,0.315,High
2021-10-10,10,0.027,0.0,0.321,High
2021-10-10,11,0.153,0.0,0.457,High
2021-10-10,12,0.958,0.0,1.016,Medium
2021-10-10,13,0.007,0.0,0.509,High
2021-10-10,14,0.014,0.0,0.388,Very High
2021-10-10,15,0.01,0.0,0.447,High
2021-10-10,16,0.016,0.0,0.346,High
2021-10-10,17,0.139,0.0,0.175,Low
2021-10-10,18,0.326,0.0,0.02,None
2021-10-10,19,0.489,0.0,0.0,None
2021-10-10,20,0.451,0.0,0.0,None
2021-10-10,21,0.635,0.0,0.0,None
2021-10-10,22,0.567,0.0,0.0,None
2021-10-10,23,0.556,0.0,0.0,None
2021-10-11,0,0.547,0.0,0.0,None
2021-10-11,1,0.627,0.0,0.0,None
2021-10-11,2,0.425,0.0,0.0,None
2021-10-11,3,0.36,0.0,0.0,None
2021-10-11,4,0.366,0.0,0.0,None
2021-10-11,5,0.37,0.0,0.0,None
2021-10-11,6,0.361,0.0,0.0,None
2021-10-11,7,0.382,0.0,0.002,None
2021-10-11,8,0.279,0.0,0.209,Medium
2021-10-11,9,0.001,0.0,0.255,Medium
2021-10-11,10,0.0,0.0,0.263,High
2021-10-11,11,0.0,0.0,0.264,Very High
2021-10-11,12,0.0,0.0,0.265,Very High
2021-10-11,13,0.0,0.0,0.267,Very High
2021-10-11,14,0.006,0.0,0.287,Very High
2021-10-11,15,0.001,0.0,0.318,High
2021-10-11,16,0.037,0.0,0.337,Medium
2021-10-11,17,0.262,0.0,0.119,Low
2021-10-11,18,0.295,0.0,0.015,None
2021-10-11,19,1.151,0.0,0.0,None
2021-10-11,20,0.566,0.0,0.0,None
2021-10-11,21,0.577,0.0,0.0,None
2021-10-11,22,0.444,0.0,0.0,None
2021-10-11,23,0.417,0.0,0.0,None
2021-10-12,0,0.445,0.0,0.0,None
2021-10-12,1,0.415,0.0,0.0,None
2021-10-12,2,0.432,0.0,0.0,None
2021-10-12,3,0.298,0.0,0.0,None
2021-10-12,4,0.261,0.0,0.0,None
2021-10-12,5,0.253,0.0,0.0,None
2021-10-12,6,0.29,0.0,0.0,None
2021-10-12,7,0.263,0.0,0.0,None
2021-10-12,8,0.307,0.0,0.16,Low
2021-10-12,9,0.0,0.0,0.261,High
2021-10-12,10,0.0,0.0,0.266,High
2021-10-12,11,0.0,0.0,0.273,Very High
2021-10-12,12,0.0,0.0,0.267,Very High
2021-10-12,13,0.009,0.0,0.425,Very High
2021-10-12,14,0.405,0.0,0.63,High
2021-10-12,15,0.417,0.0,0.538,High
2021-10-12,16,0.006,0.0,0.391,Medium
2021-10-12,17,0.241,0.0,0.208,Low
2021-10-12,18,0.454,0.0,0.012,None
2021-10-12,19,1.244,0.0,0.0,None
2021-10-12,20,0.78,0.0,0.0,None
2021-10-12,21,0.472,0.0,0.0,None
2021-10-12,22,0.511,0.0,0.0,None
2021-10-12,23,0.451,0.0,0.0,None
2021-10-13,0,0.435,0.0,0.0,None
2021-10-13,1,0.508,0.0,0.0,None
2021-10-13,2,0.375,0.0,0.0,None
2021-10-13,3,0.377,0.0,0.0,None
2021-10-13,4,0.463,0.0,0.0,None
2021-10-13,5,0.359,0.0,0.0,None
2021-10-13,6,0.352,0.0,0.0,None
2021-10-13,7,0.397,0.0,0.0,None
2021-10-13,8,0.405,0.0,0.188,Low
2021-10-13,9,0.024,0.0,0.266,High
2021-10-13,10,0.0,0.0,0.303,High
2021-10-13,11,0.0,0.0,0.303,Very High
2021-10-13,12,0.16,0.0,0.51,High
2021-10-13,13,0.028,0.0,0.422,Very High
2021-10-13,14,0.0,0.0,0.266,Very High
2021-10-13,15,0.0,0.0,0.26,High
2021-10-13,16,0.0,0.0,0.254,High
2021-10-13,17,0.112,0.0,0.187,Low
2021-10-13,18,0.333,0.0,0.011,None
2021-10-13,19,0.576,0.0,0.0,None
2021-10-13,20,0.595,0.0,0.0,None
2021-10-13,21,0.726,0.0,0.0,None
2021-10-13,22,0.395,0.0,0.0,None
2021-10-13,23,0.516,0.0,0.0,None
2021-10-14,0,0.396,0.0,0.0,None
2021-10-14,1,0.394,0.0,0.0,None
2021-10-14,2,0.398,0.0,0.0,None
2021-10-14,3,0.328,0.0,0.0,None
2021-10-14,4,0.318,0.0,0.0,None
2021-10-14,5,0.306,0.0,0.0,None
2021-10-14,6,0.301,0.0,0.0,None
2021-10-14,7,0.317,0.0,0.0,None
2021-10-14,8,0.186,0.0,0.194,Low
2021-10-14,9,0.003,0.0,0.343,Medium
2021-10-14,10,0.0,0.0,0.351,High
2021-10-14,11,0.001,0.0,0.294,High
2021-10-14,12,0.63,0.0,0.578,Medium
2021-10-14,13,0.461,0.0,0.51,Medium
2021-10-14,14,0.079,0.0,0.377,High
2021-10-14,15,0.0,0.0,0.345,High
2021-10-14,16,0.017,0.0,0.253,Medium
2021-10-14,17,0.113,0.0,0.17,Low
2021-10-14,18,0.618,0.0,0.014,None
2021-10-14,19,0.96,0.0,0.0,None
2021-10-14,20,0.94,0.0,0.0,None
2021-10-14,21,0.61,0.0,0.0,None
2021-10-14,22,0.842,0.0,0.0,None
2021-10-14,23,0.496,0.0,0.0,None
2021-10-15,0,0.438,0.0,0.0,None
2021-10-15,1,0.323,0.0,0.0,None
2021-10-15,2,0.268,0.0,0.0,None
2021-10-15,3,0.268,0.0,0.0,None
2021-10-15,4,0.252,0.0,0.0,None
2021-10-15,5,0.252,0.0,0.0,None
2021-10-15,6,0.251,0.0,0.0,None
2021-10-15,7,0.272,0.0,0.001,None
2021-10-15,8,0.752,0.0,0.124,Low
2021-10-15,9,0.007,0.0,0.266,Medium
2021-10-15,10,0.0,0.0,0.258,High
2021-10-15,11,0.02,0.0,0.279,Very High
2021-10-15,12,0.022,0.0,0.351,Very High
2021-10-15,13,0.0,0.0,0.263,Very High
2021-10-15,14,0.014,0.0,0.362,High
2021-10-15,15,0.0,0.0,0.265,High
2021-10-15,16,0.002,0.0,0.259,High
2021-10-15,17,0.936,0.0,0.184,Low
2021-10-15,18,0.825,0.0,0.006,None
2021-10-15,19,0.413,0.0,0.0,None
2021-10-15,20,0.41,0.0,0.0,None
2021-10-15,21,0.41,0.0,0.0,None
2021-10-15,22,0.474,0.0,0.0,None
2021-10-15,23,0.444,0.0,0.0,None
2021-10-16,0,0.438,0.0,0.0,None
2021-10-16,1,0.334,0.0,0.0,None
2021-10-16,2,0.315,0.0,0.0,None
2021-10-16,3,0.253,0.0,0.0,None
2021-10-16,4,0.252,0.0,0.0,None
2021-10-16,5,0.251,0.0,0.0,None
2021-10-16,6,0.249,0.0,0.0,None
2021-10-16,7,0.258,0.0,0.0,None
2021-10-16,8,0.396,0.0,0.04,None
2021-10-16,9,0.125,0.0,0.174,None
2021-10-16,10,0.035,0.0,0.227,Low
2021-10-16,11,0.102,0.0,0.278,Low
2021-10-16,12,0.57,0.0,0.267,None
2021-10-16,13,0.564,0.0,0.319,Low
2021-10-16,14,0.074,0.0,0.332,Low
2021-10-16,15,0.163,0.0,0.236,None
2021-10-16,16,0.152,0.0,0.116,None
2021-10-16,17,0.222,0.0,0.027,None
2021-10-16,18,0.322,0.0,0.0,None
2021-10-16,19,0.432,0.0,0.0,None
2021-10-16,20,0.436,0.0,0.0,None
2021-10-16,21,0.254,0.0,0.0,None
2021-10-16,22,0.253,0.0,0.0,None
2021-10-16,23,0.253,0.0,0.0,None
2021-10-17,0,1.038,0.0,0.0,None
2021-10-17,1,0.48,0.0,0.0,None
2021-10-17,2,0.334,0.0,0.0,None
2021-10-17,3,0.335,0.0,0.0,None
2021-10-17,4,0.254,0.0,0.0,None
2021-10-17,5,0.268,0.0,0.0,None
2021-10-17,6,0.322,0.0,0.0,None
2021-10-17,7,0.299,0.0,0.0,None
2021-10-17,8,0.244,0.0,0.011,None
2021-10-17,9,0.201,0.0,0.075,None
2021-10-17,10,0.249,0.0,0.137,None
2021-10-17,11,0.155,0.0,0.225,Medium
2021-10-17,12,0.507,0.0,0.32,Low
2021-10-17,13,1.004,0.0,0.273,None
2021-10-17,14,0.115,0.0,0.178,None
2021-10-17,15,0.165,0.0,0.146,None
2021-10-17,16,0.433,0.0,0.094,None
2021-10-17,17,0.619,0.0,0.02,None
2021-10-17,18,0.666,0.0,0.0,None
2021-10-17,19,2.077,0.0,0.0,None
2021-10-17,20,0.904,0.0,0.0,None
2021-10-17,21,0.688,0.0,0.0,None
2021-10-17,22,0.543,0.0,0.0,None
2021-10-17,23,0.418,0.0,0.0,None
2021-10-18,0,0.53,0.0,0.0,None
2021-10-18,1,0.427,0.0,0.0,None
2021-10-18,2,0.323,0.0,0.0,None
2021-10-18,3,0.326,0.0,0.0,None
2021-10-18,4,0.274,0.0,0.0,None
2021-10-18,5,0.269,0.0,0.0,None
2021-10-18,6,0.267,0.0,0.0,None
2021-10-18,7,0.288,0.0,0.0,None
2021-10-18,8,0.421,0.0,0.076,None
2021-10-18,9,0.026,0.0,0.226,Low
2021-10-18,10,0.0,0.0,0.253,Medium
2021-10-18,11,0.0,0.0,0.254,High
2021-10-18,12,0.0,0.0,0.268,High
2021-10-18,13,0.0,0.0,0.278,High
2021-10-18,14,0.018,0.0,0.326,High
2021-10-18,15,0.027,0.0,0.371,Medium
2021-10-18,16,0.025,0.0,0.37,Medium
2021-10-18,17,0.149,0.0,0.191,None
2021-10-18,18,0.31,0.0,0.024,None
2021-10-18,19,1.087,0.0,0.0,None
2021-10-18,20,0.727,0.0,0.0,None
2021-10-18,21,0.6,0.0,0.0,None
2021-10-18,22,0.534,0.0,0.0,None
2021-10-18,23,0.637,0.0,0.0,None
2021-10-19,0,0.342,0.0,0.0,None
2021-10-19,1,0.317,0.0,0.0,None
2021-10-19,2,0.315,0.0,0.0,None
2021-10-19,3,0.263,0.0,0.0,None
2021-10-19,4,0.283,0.0,0.0,None
2021-10-19,5,0.275,0.0,0.0,None
2021-10-19,6,0.256,0.0,0.0,None
2021-10-19,7,0.273,0.0,0.0,None
2021-10-19,8,0.429,0.0,0.125,Low
2021-10-19,9,0.0,0.0,0.339,Medium
2021-10-19,10,0.0,0.0,0.341,High
2021-10-19,11,0.0,0.0,0.344,High
2021-10-19,12,0.0,0.0,0.351,Very High
2021-10-19,13,0.3,0.0,0.569,High
2021-10-19,14,0.012,0.0,0.433,High
2021-10-19,15,0.0,0.0,0.341,High
2021-10-19,16,0.026,0.0,0.342,Medium
2021-10-19,17,0.254,0.0,0.173,Low
2021-10-19,18,0.331,0.0,0.006,None
2021-10-19,19,0.439,0.0,0.0,None
2021-10-19,20,0.418,0.0,0.0,None
2021-10-19,21,0.376,0.0,0.0,None
2021-10-19,22,0.416,0.0,0.0,None
2021-10-19,23,0.378,0.0,0.0,None
2021-10-20,0,0.256,0.0,0.0,None
2021-10-20,1,0.28,0.0,0.0,None
2021-10-20,2,0.259,0.0,0.0,None
2021-10-20,3,0.255,0.0,0.0,None
2021-10-20,4,0.253,0.0,0.0,None
2021-10-20,5,0.252,0.0,0.0,None
2021-10-20,6,0.252,0.0,0.0,None
2021-10-20,7,0.627,0.0,0.0,None
2021-10-20,8,0.301,0.0,0.013,None
2021-10-20,9,0.208,0.0,0.057,None
2021-10-20,10,0.175,0.0,0.09,None
2021-10-20,11,0.154,0.0,0.111,None
2021-10-20,12,0.062,0.0,0.21,Medium
2021-10-20,13,0.019,0.0,0.256,High
2021-10-20,14,0.031,0.0,0.278,High
2021-10-20,15,0.026,0.0,0.273,High
2021-10-20,16,0.056,0.0,0.194,Low
2021-10-20,17,0.25,0.0,0.113,None
2021-10-20,18,0.348,0.0,0.011,None
2021-10-20,19,1.07,0.0,0.0,None
2021-10-20,20,0.767,0.0,0.0,None
2021-10-20,21,0.755,0.0,0.0,None
2021-10-20,22,0.666,0.0,0.0,None
2021-10-20,23,0.371,0.0,0.0,None
2021-10-21,0,0.372,0.0,0.0,None
2021-10-21,1,0.366,0.0,0.0,None
2021-10-21,2,0.349,0.0,0.0,None
2021-10-21,3,0.307,0.0,0.0,None
2021-10-21,4,0.315,0.0,0.0,None
2021-10-21,5,0.314,0.0,0.0,None
2021-10-21,6,0.302,0.0,0.0,None
2021-10-21,7,0.422,0.0,0.0,None
2021-10-21,8,0.336,0.0,0.136,None
2021-10-21,9,0.129,0.0,0.317,Medium
2021-10-21,10,0.003,0.0,0.395,Medium
2021-10-21,11,0.0,0.0,0.407,High
2021-10-21,12,0.024,0.0,0.401,High
2021-10-21,13,0.895,0.0,0.47,High
2021-10-21,14,0.04,0.0,0.285,High
2021-10-21,15,0.187,0.0,0.254,Medium
2021-10-21,16,0.166,0.0,0.15,Low
2021-10-21,17,0.198,0.0,0.15,None
2021-10-21,18,0.358,0.0,0.006,None
2021-10-21,19,0.873,0.0,0.0,None
2021-10-21,20,0.818,0.0,0.0,None
2021-10-21,21,0.506,0.0,0.0,None
2021-10-21,22,0.479,0.0,0.0,None
2021-10-21,23,0.366,0.0,0.0,None
2021-10-22,0,0.376,0.0,0.0,None
2021-10-22,1,0.376,0.0,0.0,None
2021-10-22,2,0.372,0.0,0.0,None
2021-10-22,3,0.353,0.0,0.0,None
2021-10-22,4,0.353,0.0,0.0,None
2021-10-22,5,0.265,0.0,0.0,None
2021-10-22,6,0.259,0.0,0.0,None
2021-10-22,7,0.337,0.0,0.0,None
2021-10-22,8,0.272,0.0,0.114,Low
2021-10-22,9,0.027,0.0,0.271,High
2021-10-22,10,0.0,0.0,0.326,High
2021-10-22,11,0.0,0.0,0.324,Very High
2021-10-22,12,0.0,0.0,0.409,Very High
2021-10-22,13,0.008,0.0,0.406,Very High
2021-10-22,14,0.017,0.0,0.468,High
2021-10-22,15,0.0,0.0,0.288,High
2021-10-22,16,0.0,0.0,0.257,Medium
2021-10-22,17,0.107,0.0,0.148,Low
2021-10-22,18,0.293,0.0,0.004,None
2021-10-22,19,0.342,0.0,0.0,None
2021-10-22,20,0.349,0.0,0.0,None
2021-10-22,21,0.34,0.0,0.0,None
2021-10-22,22,0.503,0.0,0.0,None
2021-10-22,23,0.636,0.0,0.0,None
2021-10-23,0,0.395,0.0,0.0,None
2021-10-23,1,0.382,0.0,0.0,None
2021-10-23,2,0.417,0.0,0.0,None
2021-10-23,3,0.445,0.0,0.0,None
2021-10-23,4,0.39,0.0,0.0,None
2021-10-23,5,0.38,0.0,0.0,None
2021-10-23,6,0.246,0.0,0.0,None
2021-10-23,7,0.249,0.0,0.0,None
2021-10-23,8,0.166,0.0,0.099,Low
2021-10-23,9,0.0,0.0,0.258,Medium
2021-10-23,10,0.447,0.0,0.467,Medium
2021-10-23,11,0.139,0.0,0.494,Medium
2021-10-23,12,0.328,0.0,0.654,High
2021-10-23,13,0.0,0.0,0.373,High
2021-10-23,14,0.303,0.0,0.462,Medium
2021-10-23,15,0.146,0.0,0.396,Medium
2021-10-23,16,0.179,0.0,0.231,Low
2021-10-23,17,0.351,0.0,0.117,None
2021-10-23,18,0.387,0.0,0.015,None
