,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
63,0.333,0.0,0.051,None,2022-01-03 15:00:00,14.53,14.28,13.72,16.45,1023,86,5.2,,100,overcast clouds
64,0.375,0.0,0.008,None,2022-01-03 16:00:00,14.5,14.3,12.89,15.34,1022,88,4.93,,100,overcast clouds
65,0.478,0.0,0.0,None,2022-01-03 17:00:00,13.97,13.77,12.79,14.23,1022,90,4.48,,100,overcast clouds
66,0.583,0.0,0.0,None,2022-01-03 18:00:00,13.46,13.26,12.79,13.72,1021,92,4.24,,77,broken clouds
67,0.678,0.0,0.0,None,2022-01-03 19:00:00,13.45,13.28,12.32,14.23,1021,93,4.35,,83,broken clouds
68,0.686,0.0,0.0,None,2022-01-03 20:00:00,13.45,13.28,12.32,14.23,1020,93,4.31,,57,broken clouds
69,0.504,0.0,0.0,None,2022-01-03 21:00:00,12.95,12.68,12.32,14.23,1020,91,4.44,,68,broken clouds
70,0.0,0.584,0.0,None,2022-01-03 22:00:00,13.45,13.15,12.32,13.72,1019,88,4.8,,66,broken clouds
71,0.0,1.113,0.0,None,2022-01-03 23:00:00,12.96,12.69,12.32,13.72,1017,91,4.91,,94,overcast clouds
72,0.0,0.573,0.0,None,2022-01-04 00:00:00,13.5,13.15,13.48,14.0,1017,86,4.94,,53,broken clouds
73,0.0,0.442,0.0,None,2022-01-04 01:00:00,14.54,13.85,12.88,14.72,1015,69,4.77,,15,few clouds
74,0.0,0.397,0.0,None,2022-01-04 02:00:00,13.53,12.98,12.88,14.45,1014,78,4.83,,4,sky is clear
75,0.0,0.321,0.0,None,2022-01-04 03:00:00,13.74,13.18,13.43,14.55,1014,77,5.08,,5,sky is clear
76,0.0,0.326,0.0,None,2022-01-04 04:00:00,14.28,13.72,13.12,14.72,1013,75,6.09,,52,broken clouds
77,0.0,0.322,0.0,None,2022-01-04 05:00:00,14.28,13.72,13.43,14.72,1011,75,6.54,0.65,94,light rain
78,0.0,0.324,0.0,None,2022-01-04 06:00:00,14.5,14.07,13.34,14.59,1011,79,6.33,1.58,98,moderate rain
79,0.0,0.323,0.0,None,2022-01-04 07:00:00,13.83,13.59,10.72,14.04,1010,89,4.54,2.64,100,moderate rain
80,0.784,0.0,0.001,None,2022-01-04 08:00:00,10.71,10.21,10.11,11.21,1011,91,3.81,3.33,100,moderate rain
81,0.653,0.0,0.011,None,2022-01-04 09:00:00,9.59,6.58,9.45,9.79,1013,93,6.45,2.46,100,moderate rain
82,0.275,0.0,0.095,None,2022-01-04 10:00:00,9.59,7.16,9.23,9.59,1015,93,4.78,1.24,97,moderate rain
83,0.067,0.0,0.295,Medium,2022-01-04 11:00:00,9.06,6.95,9.04,9.55,1016,91,3.78,0.19,73,light rain
84,0.242,0.0,0.25,None,2022-01-04 12:00:00,10.23,9.58,8.68,11.72,1017,87,3.98,,55,broken clouds
85,0.026,0.0,0.295,Medium,2022-01-04 13:00:00,10.87,10.21,10.34,12.88,1017,84,4.77,0.62,80,light rain
86,0.202,0.0,0.139,Medium,2022-01-04 14:00:00,10.84,10.07,10.7,12.89,1018,80,4.25,0.58,52,light rain
87,0.068,0.0,0.342,None,2022-01-04 15:00:00,11.77,11.01,10.11,11.82,1018,77,4.44,,35,scattered clouds
88,0.264,0.0,0.017,None,2022-01-04 16:00:00,11.27,10.54,11.21,11.72,1019,80,4.72,,29,scattered clouds
89,0.335,0.0,0.005,None,2022-01-04 17:00:00,10.75,9.94,9.79,11.72,1020,79,4.72,,40,scattered clouds
90,0.347,0.0,0.0,None,2022-01-04 18:00:00,9.17,7.82,8.9,10.72,1021,89,2.53,,32,scattered clouds
91,0.356,0.0,0.0,None,2022-01-04 19:00:00,9.09,7.82,8.9,10.11,1021,91,2.4,,51,broken clouds
92,0.6,0.0,0.0,None,2022-01-04 20:00:00,9.07,7.89,8.68,9.72,1022,90,2.27,,84,broken clouds
93,0.576,0.0,0.0,None,2022-01-04 21:00:00,9.02,7.95,8.43,10.11,1022,91,2.12,,88,overcast clouds
94,0.0,0.478,0.0,None,2022-01-04 22:00:00,9.06,8.37,8.43,10.11,1023,91,1.7,0.13,90,light rain
95,0.0,0.433,0.0,None,2022-01-04 23:00:00,9.06,9.06,8.43,9.72,1023,91,0.8,0.39,97,light rain
96,0.0,0.464,0.0,None,2022-01-05 00:00:00,9.01,9.01,8.12,9.55,1023,92,0.61,,81,broken clouds
97,0.0,0.319,0.0,None,2022-01-05 01:00:00,8.44,8.44,7.72,8.68,1023,93,0.22,,71,broken clouds
98,0.0,0.321,0.0,None,2022-01-05 02:00:00,7.92,7.92,7.72,8.12,1022,93,0.71,,82,broken clouds
99,0.0,0.277,0.0,None,2022-01-05 03:00:00,7.9,7.9,7.32,7.93,1023,94,0.94,,96,overcast clouds
100,0.0,0.273,0.0,None,2022-01-05 04:00:00,7.86,7.86,6.72,8.44,1023,94,0.96,,98,overcast clouds
101,0.0,0.266,0.0,None,2022-01-05 05:00:00,8.38,8.38,6.77,8.48,1023,94,0.78,,85,overcast clouds
102,0.0,0.262,0.0,None,2022-01-05 06:00:00,8.4,8.4,6.45,9.0,1023,94,1.0,,76,broken clouds
103,0.0,0.27,0.0,None,2022-01-05 07:00:00,7.89,7.89,6.45,7.93,1023,94,1.32,,85,overcast clouds
104,0.691,0.0,0.004,None,2022-01-05 08:00:00,8.44,7.79,6.45,8.72,1022,94,1.57,,98,overcast clouds
105,0.625,0.0,0.073,None,2022-01-05 09:00:00,8.97,8.34,7.32,9.04,1022,94,1.63,0.18,88,light rain
106,0.825,0.0,0.112,None,2022-01-05 10:00:00,9.59,8.21,9.23,9.59,1021,94,2.69,0.4,84,light rain
107,0.258,0.0,0.085,None,2022-01-05 11:00:00,10.19,9.75,8.99,11.72,1021,95,3.51,0.57,100,light rain
108,0.153,0.0,0.124,None,2022-01-05 12:00:00,10.23,9.76,10.1,11.72,1020,94,4.4,0.79,100,light rain
109,0.142,0.0,0.157,None,2022-01-05 13:00:00,11.27,10.91,10.66,11.78,1018,94,5.01,1.31,100,moderate rain
110,0.217,0.0,0.157,Medium,2022-01-05 14:00:00,11.85,11.57,11.21,12.72,1017,95,4.87,1.01,89,moderate rain
111,0.076,0.0,0.2,Low,2022-01-05 15:00:00,11.81,11.5,11.22,11.82,1017,94,4.23,,42,scattered clouds
112,0.204,0.0,0.074,None,2022-01-05 16:00:00,11.85,11.47,10.9,12.72,1018,91,3.99,,36,scattered clouds
113,0.316,0.0,0.0,None,2022-01-05 17:00:00,10.77,10.02,10.34,11.78,1018,81,3.11,,29,scattered clouds
114,0.45,0.0,0.0,None,2022-01-05 18:00:00,10.73,10.08,10.57,11.72,1019,85,2.98,,37,scattered clouds
115,0.497,0.0,0.0,None,2022-01-05 19:00:00,10.16,9.42,10.01,10.72,1020,84,2.77,,27,scattered clouds
116,0.562,0.0,0.0,None,2022-01-05 20:00:00,9.19,7.68,7.57,10.11,1020,85,2.78,,22,few clouds
117,0.363,0.0,0.0,None,2022-01-05 21:00:00,8.97,7.69,7.57,9.55,1020,82,2.38,,7,sky is clear
118,0.0,0.509,0.0,None,2022-01-05 22:00:00,8.45,7.4,7.01,9.0,1021,84,1.98,,16,few clouds
119,0.0,0.5,0.0,None,2022-01-05 23:00:00,7.93,7.12,6.45,9.0,1021,86,1.65,,36,scattered clouds
120,0.0,0.409,0.0,None,2022-01-06 00:00:00,7.33,6.21,5.72,9.0,1022,87,1.87,,3,sky is clear
121,0.0,0.47,0.0,None,2022-01-06 01:00:00,7.31,5.94,5.72,9.0,1022,89,2.13,,13,few clouds
122,0.0,0.451,0.0,None,2022-01-06 02:00:00,6.74,5.55,4.72,8.44,1021,89,1.84,,22,few clouds
123,0.0,0.392,0.0,None,2022-01-06 03:00:00,6.75,6.75,5.34,6.82,1022,90,1.16,,43,scattered clouds
124,0.0,0.578,0.0,None,2022-01-06 04:00:00,7.2,7.2,4.72,7.89,1021,89,1.15,,48,scattered clouds
125,0.0,0.402,0.0,None,2022-01-06 05:00:00,7.19,7.19,4.45,7.37,1022,87,0.96,,62,broken clouds
126,0.0,0.388,0.0,None,2022-01-06 06:00:00,7.64,7.64,3.9,7.93,1022,83,0.81,,95,overcast clouds
127,0.0,0.339,0.0,None,2022-01-06 07:00:00,6.66,6.66,3.9,6.82,1023,89,0.91,,100,overcast clouds
128,0.979,0.0,0.029,None,2022-01-06 08:00:00,5.57,5.57,3.99,6.72,1023,97,0.83,,100,overcast clouds
129,0.271,0.0,0.078,None,2022-01-06 09:00:00,8.28,8.28,4.54,8.48,1023,86,0.93,,100,overcast clouds
130,0.2,0.0,0.129,None,2022-01-06 10:00:00,8.94,8.33,6.68,9.04,1024,88,1.6,,100,overcast clouds
131,0.173,0.0,0.182,None,2022-01-06 11:00:00,9.49,9.18,6.77,9.72,1025,85,1.4,,100,overcast clouds
132,0.022,0.0,0.27,Low,2022-01-06 12:00:00,11.13,10.41,8.43,11.26,1024,81,0.97,,100,overcast clouds
133,0.135,0.0,0.163,Low,2022-01-06 13:00:00,11.28,10.6,10.01,12.72,1024,82,0.49,,100,overcast clouds
134,0.657,0.0,0.131,None,2022-01-06 14:00:00,11.26,10.66,11.12,11.78,1024,85,1.05,,99,overcast clouds
135,0.965,0.0,0.109,None,2022-01-06 15:00:00,10.79,10.3,10.7,11.78,1024,91,1.8,,100,overcast clouds
136,0.341,0.0,0.032,None,2022-01-06 16:00:00,10.79,10.33,10.57,11.78,1023,92,1.29,,99,overcast clouds
137,0.326,0.0,0.001,None,2022-01-06 17:00:00,10.29,9.8,10.15,11.78,1024,93,1.41,,85,overcast clouds
138,0.467,0.0,0.0,None,2022-01-06 18:00:00,10.17,9.67,9.79,10.67,1025,93,1.8,,50,scattered clouds
139,1.353,0.0,0.0,None,2022-01-06 19:00:00,9.62,9.11,9.45,10.67,1025,94,1.6,,78,broken clouds
140,0.921,0.0,0.0,None,2022-01-06 20:00:00,9.59,9.59,8.9,10.11,1025,94,1.32,,88,overcast clouds
141,0.574,0.0,0.0,None,2022-01-06 21:00:00,9.57,9.57,8.9,9.79,1025,94,1.16,,87,overcast clouds
142,0.0,0.537,0.0,None,2022-01-06 22:00:00,9.46,9.46,7.72,9.79,1026,94,0.93,,93,overcast clouds
143,0.0,0.508,0.0,None,2022-01-06 23:00:00,8.99,8.99,7.88,9.79,1027,94,0.76,,100,overcast clouds
144,0.0,0.471,0.0,None,2022-01-07 00:00:00,9.03,9.03,8.72,9.55,1027,94,0.76,,99,overcast clouds
145,0.0,0.324,0.0,None,2022-01-07 01:00:00,9.08,9.08,8.9,9.72,1027,94,1.24,,100,overcast clouds
146,0.0,0.36,0.0,None,2022-01-07 02:00:00,9.0,7.95,8.34,9.23,1027,94,2.09,,97,overcast clouds
147,0.0,0.34,0.0,None,2022-01-07 03:00:00,9.0,7.49,8.34,9.23,1028,94,2.71,,77,broken clouds
148,0.0,0.33,0.0,None,2022-01-07 04:00:00,9.02,7.35,8.72,9.23,1028,95,2.98,,34,scattered clouds
149,0.0,0.283,0.0,None,2022-01-07 05:00:00,8.99,7.23,7.88,9.23,1028,95,3.12,,31,scattered clouds
150,0.0,0.272,0.0,None,2022-01-07 06:00:00,8.43,6.68,7.72,9.0,1029,94,2.91,,16,few clouds
151,0.0,0.271,0.0,None,2022-01-07 07:00:00,8.41,6.83,7.32,8.68,1029,94,2.65,,2,sky is clear
152,0.81,0.0,0.101,None,2022-01-07 08:00:00,7.91,6.23,7.32,8.68,1030,94,2.66,,3,sky is clear
153,0.0,0.0,0.333,Medium,2022-01-07 09:00:00,8.45,6.36,7.72,8.9,1031,90,3.49,,12,few clouds
154,0.107,0.0,0.527,Medium,2022-01-07 10:00:00,11.1,10.33,8.99,11.26,1032,79,3.5,,12,few clouds
155,0.402,0.0,0.778,Medium,2022-01-07 11:00:00,11.25,10.21,10.34,11.72,1032,68,3.21,,1,sky is clear
156,0.228,0.0,0.437,High,2022-01-07 12:00:00,12.38,11.24,12.23,12.88,1032,60,3.41,,7,sky is clear
157,0.0,0.0,0.251,High,2022-01-07 13:00:00,12.98,11.85,10.9,15.1,1032,58,4.14,,1,sky is clear
158,0.0,0.0,0.278,High,2022-01-07 14:00:00,13.03,11.9,11.45,15.1,1031,58,2.94,,0,sky is clear
159,0.0,0.0,0.332,Medium,2022-01-07 15:00:00,12.95,11.84,12.88,13.72,1031,59,3.52,,2,sky is clear
160,0.25,0.0,0.074,None,2022-01-07 16:00:00,12.38,11.29,12.37,12.89,1031,62,3.2,,25,scattered clouds
161,0.342,0.0,0.002,None,2022-01-07 17:00:00,11.82,10.7,11.72,12.33,1031,63,2.81,,36,scattered clouds
162,0.325,0.0,0.0,None,2022-01-07 18:00:00,10.72,9.6,9.79,11.22,1032,67,2.6,,25,scattered clouds
163,0.628,0.0,0.0,None,2022-01-07 19:00:00,10.08,8.95,8.68,10.15,1032,69,2.55,,48,scattered clouds
164,0.817,0.0,0.0,None,2022-01-07 20:00:00,8.95,7.57,8.12,9.55,1033,83,2.52,,69,broken clouds
165,0.508,0.0,0.0,None,2022-01-07 21:00:00,8.67,7.14,7.01,9.0,1033,84,2.66,,0,sky is clear
166,0.0,0.374,0.0,None,2022-01-07 22:00:00,8.17,6.53,5.9,9.0,1033,87,2.67,,30,scattered clouds
167,0.0,0.379,0.0,None,2022-01-07 23:00:00,7.89,6.5,5.34,8.44,1033,88,2.28,,1,sky is clear
168,0.0,0.31,0.0,None,2022-01-08 00:00:00,7.38,6.06,4.79,9.0,1033,89,2.09,,2,sky is clear
169,0.0,0.325,0.0,None,2022-01-08 01:00:00,7.74,6.62,4.23,7.93,1033,73,1.94,,1,sky is clear
170,0.0,1.767,0.0,None,2022-01-08 02:00:00,4.7,3.33,3.68,6.22,1033,90,1.72,,3,sky is clear
171,0.0,0.538,0.0,None,2022-01-08 03:00:00,7.11,6.09,3.12,7.37,1033,76,1.73,,0,sky is clear
172,0.0,0.25,0.0,None,2022-01-08 04:00:00,6.55,5.17,2.57,6.82,1033,79,2.0,,19,few clouds
173,0.0,0.245,0.0,None,2022-01-08 05:00:00,6.56,4.98,2.57,6.82,1032,79,2.22,,77,broken clouds
174,0.0,0.242,0.0,None,2022-01-08 06:00:00,6.13,4.52,2.72,6.26,1032,79,2.17,,92,overcast clouds
175,0.0,0.231,0.0,None,2022-01-08 07:00:00,5.69,3.85,2.72,5.7,1033,82,2.35,,99,overcast clouds
176,1.036,0.0,0.072,None,2022-01-08 08:00:00,5.15,3.39,3.72,5.15,1032,84,2.15,,100,overcast clouds
177,0.036,0.0,0.196,Low,2022-01-08 09:00:00,6.76,5.41,3.34,6.82,1032,82,2.01,,100,overcast clouds
178,0.045,0.0,0.256,Medium,2022-01-08 10:00:00,6.82,4.99,5.72,6.82,1033,82,2.59,,98,overcast clouds
179,0.505,0.0,0.308,Medium,2022-01-08 11:00:00,7.93,6.82,6.72,7.93,1033,80,1.96,,96,overcast clouds
180,0.787,0.0,0.268,None,2022-01-08 12:00:00,9.59,9.59,9.59,9.72,1032,78,0.93,,100,overcast clouds
181,0.032,0.0,0.304,Medium,2022-01-08 13:00:00,10.55,9.67,8.34,10.7,1032,77,1.27,,100,overcast clouds
182,0.156,0.0,0.233,None,2022-01-08 14:00:00,10.72,9.83,9.55,12.01,1032,76,2.5,,84,broken clouds
183,0.366,0.0,0.167,None,2022-01-08 15:00:00,11.26,10.48,10.66,11.72,1030,78,2.38,,100,overcast clouds
184,0.648,0.0,0.026,None,2022-01-08 16:00:00,10.7,9.94,10.34,11.22,1030,81,2.53,,98,overcast clouds
185,0.444,0.0,0.0,None,2022-01-08 17:00:00,10.2,9.44,10.01,11.22,1030,83,1.95,,100,overcast clouds
186,0.477,0.0,0.0,None,2022-01-08 18:00:00,9.67,8.99,9.59,10.72,1030,85,1.79,,100,overcast clouds
187,0.425,0.0,0.0,None,2022-01-08 19:00:00,9.59,9.17,9.45,9.79,1030,87,1.51,,100,overcast clouds
188,0.371,0.0,0.0,None,2022-01-08 20:00:00,10.09,9.43,8.99,10.15,1029,87,1.56,,79,broken clouds
189,0.346,0.0,0.0,None,2022-01-08 21:00:00,9.63,8.8,8.99,10.72,1029,88,1.95,,100,overcast clouds
190,0.0,0.451,0.0,None,2022-01-08 22:00:00,9.66,9.43,8.43,11.72,1029,90,1.35,,100,overcast clouds
191,0.0,0.479,0.0,None,2022-01-08 23:00:00,9.66,8.83,8.43,11.72,1029,92,1.96,,100,overcast clouds
192,0.0,0.472,0.0,None,2022-01-09 00:00:00,9.63,8.7,8.99,10.72,1029,93,2.08,,100,overcast clouds
193,0.0,0.517,0.0,None,2022-01-09 01:00:00,10.16,9.69,8.43,11.72,1028,94,1.95,,100,overcast clouds
194,0.0,0.413,0.0,None,2022-01-09 02:00:00,10.16,9.69,8.43,11.72,1029,94,1.47,0.14,100,light rain
195,0.0,0.244,0.0,None,2022-01-09 03:00:00,10.67,10.25,8.43,11.72,1029,94,1.51,0.26,100,light rain
196,0.0,0.303,0.0,None,2022-01-09 04:00:00,10.73,10.31,8.9,11.72,1028,94,1.77,0.39,100,light rain
197,0.0,0.302,0.0,None,2022-01-09 05:00:00,10.73,10.31,9.45,11.72,1028,94,2.15,0.5,100,light rain
198,0.0,0.236,0.0,None,2022-01-09 06:00:00,10.68,10.26,8.99,11.72,1027,94,2.64,0.57,100,light rain
199,0.0,1.656,0.0,None,2022-01-09 07:00:00,11.27,10.91,10.01,11.72,1027,94,3.12,0.58,100,light rain
200,0.228,0.0,0.005,None,2022-01-09 08:00:00,11.28,10.92,10.57,11.72,1027,94,3.45,0.66,100,light rain
201,0.576,0.0,0.04,None,2022-01-09 09:00:00,11.86,11.58,11.12,12.72,1027,95,3.79,0.42,100,light rain
202,1.39,0.0,0.102,None,2022-01-09 10:00:00,12.38,12.13,11.68,13.12,1027,94,3.16,0.35,100,light rain
203,0.774,0.0,0.132,None,2022-01-09 11:00:00,12.86,12.66,11.21,13.68,1027,94,3.75,0.27,100,light rain
204,1.416,0.0,0.127,None,2022-01-09 12:00:00,12.93,12.76,11.77,13.72,1027,95,4.2,0.29,100,light rain
205,1.715,0.0,0.122,None,2022-01-09 13:00:00,12.93,12.73,11.77,13.72,1026,94,4.16,0.31,100,light rain
206,1.174,0.0,0.131,None,2022-01-09 14:00:00,13.45,13.33,12.32,14.23,1026,95,4.47,0.46,100,light rain
207,0.329,0.0,0.092,None,2022-01-09 15:00:00,13.45,13.33,12.32,14.23,1026,95,4.1,0.41,100,light rain
208,0.612,0.0,0.018,None,2022-01-09 16:00:00,13.45,13.33,12.32,14.23,1026,95,3.65,0.24,100,light rain
209,0.667,0.0,0.0,None,2022-01-09 17:00:00,13.45,13.33,12.32,14.23,1026,95,3.12,,100,overcast clouds
210,0.828,0.0,0.0,None,2022-01-09 18:00:00,13.45,13.33,12.32,13.72,1026,95,2.58,0.11,100,light rain
211,1.574,0.0,0.0,None,2022-01-09 19:00:00,13.45,13.33,12.32,13.72,1026,95,2.46,,100,overcast clouds
212,1.08,0.0,0.0,None,2022-01-09 20:00:00,13.45,13.33,12.32,13.72,1027,95,2.56,,100,overcast clouds
213,1.427,0.0,0.0,None,2022-01-09 21:00:00,13.45,13.33,12.32,13.72,1026,95,2.63,,100,overcast clouds
214,0.0,0.841,0.0,None,2022-01-09 22:00:00,12.95,12.78,12.32,13.72,1026,95,2.19,,100,overcast clouds
